Species,Family,other_names,repro_all,Arboreal,Insular,elev,temp,prec,mountain,topo.complex,female.svl,rates,AndesRegion,AndesMount,herbivory
Callisaurus_draconoides,Phrynosomatidae,,Oviparous,no,no,501,20.5,170,no,2.641753912,67.9,0.042265332,0,no,no
Cophosaurus_texanus,Phrynosomatidae,,Oviparous,no,no,976.5,18.3,368,yes,4.70931983,55.9,0.042265332,0,no,no
Holbrookia_elegans,Phrynosomatidae,,Oviparous,no,no,916,19.3,436,yes,3.229882002,54,0.071884859,0,no,no
Holbrookia_lacerata,Phrynosomatidae,,Oviparous,no,no,566,18.5,575,no,0.750934124,,0.050376988,0,no,no
Holbrookia_maculata,Phrynosomatidae,,Oviparous,no,no,1330,15,364,yes,1.502037287,54.2,0.094705052,0,no,no
Holbrookia_propinqua,Phrynosomatidae,,Oviparous,no,no,7,22.3,746,no,0.318653852,51.7,0.096606589,0,no,no
Petrosaurus_mearnsi,Phrynosomatidae,,Oviparous,no,no,598,17.9,253,no,12.78931427,76,0.036530084,0,no,no
Petrosaurus_repens,Phrynosomatidae,,Oviparous,no,no,351.5,21.5,144,no,9.68605423,,0.069605986,0,no,no
Petrosaurus_thalassinus,Phrynosomatidae,,Oviparous,no,no,362.5,21.8,392.5,no,11.21493435,94.6,0.068510914,0,no,no
Phrynosoma_asio,Phrynosomatidae,,Oviparous,no,no,315,26.25,848,no,6.073572159,101.5,0.033479351,0,no,no
Phrynosoma_blainvillii,Phrynosomatidae,,Oviparous,no,no,509,15.1,416,no,10.15026569,78.2,0.123584936,0,no,no
Phrynosoma_braconnieri,Phrynosomatidae,,Viviparous,no,no,2035.5,16.6,748,yes,10.35421181,66.2,0.058677282,0,no,no
Phrynosoma_cerroense,Phrynosomatidae,,Oviparous,no,no,73,19.2,141,no,2.175443649,72.3,0.220100076,0,no,
Phrynosoma_cornutum,Phrynosomatidae,,Oviparous,no,no,806,16.7,474,yes,1.407722294,79.5,0.033479351,0,no,no
Phrynosoma_coronatum,Phrynosomatidae,,Oviparous,no,no,358.5,16.4,356,no,4.292983294,81.4,0.081615158,0,no,no
Phrynosoma_ditmarsi,Phrynosomatidae,,Viviparous,no,no,1344,17.7,507,yes,6.56145525,71.3,0.112996455,0,no,no
Phrynosoma_douglasii,Phrynosomatidae,,Viviparous,no,no,1533.5,8.1,385.5,yes,4.033020735,71.5,0.086296528,0,no,no
Phrynosoma_goodei,Phrynosomatidae,,Oviparous,no,no,107,22.2,103,no,1.028285354,,0.102048695,0,no,no
Phrynosoma_hernandesi,Phrynosomatidae,,Viviparous,no,no,2051,8.5,434.5,yes,7.077539444,76.9,0.112996455,0,no,no
Phrynosoma_mcallii,Phrynosomatidae,,Oviparous,no,no,61.5,22.3,98,no,1.147203565,69,0.060755106,0,no,no
Phrynosoma_modestum,Phrynosomatidae,,Oviparous,no,no,1352,16.3,304,yes,2.608477116,58.2,0.051083871,0,no,no
