Index,Species,Magnorder,Superorder ,Order,Family,65 species Dataset,228 Species Dataset,Average Per Aln Missingness Post Filtering for Sliding Windows analysis
1,Chrysochloris_asiatica,Atlantogenata,Afrotheria,Afrosoricida,Chrysochloridae,TRUE,TRUE,41.5
2,Echinops telfairi,Atlantogenata,Afrotheria,Afrosoricida,Tenrecidae,FALSE,TRUE,44.4
3,Microgale_talazaci,Atlantogenata,Afrotheria,Afrosoricida,Tenrecidae,TRUE,TRUE,44.0
4,Heterohyrax_brucei,Atlantogenata,Afrotheria,Hyracoidea,Procaviidae,TRUE,TRUE,28.0
5,Procavia capensis,Atlantogenata,Afrotheria,Hyracoidea,Procaviidae,FALSE,TRUE,28.1
6,Elephantulus_edwardii,Atlantogenata,Afrotheria,Macroscelidea,Macroscelididae,TRUE,TRUE,47.7
7,Loxodonta_africana,Atlantogenata,Afrotheria,Proboscidea,Elephantidae,TRUE,TRUE,21.9
8,Trichechus_manatus,Atlantogenata,Afrotheria,Sirenia,Trichechidae,TRUE,TRUE,22.5
9,Orycteropus_afer,Atlantogenata,Afrotheria,Tubulidentata,Orycteropodidae,TRUE,TRUE,27.0
10,Chaetophractus vellerosus,Atlantogenata,Xenarthra,Cingulata,Dasypodidae,FALSE,FALSE,
11,Dasypus_novemcinctus,Atlantogenata,Xenarthra,Cingulata,Dasypodidae,TRUE,TRUE,24.6
12,Tolypeutes matacus,Atlantogenata,Xenarthra,Cingulata,Dasypodidae,FALSE,TRUE,23.4
13,Choloepus didactylus,Atlantogenata,Xenarthra,Pilosa,Megalonychidae,FALSE,FALSE,
14,Choloepus_hoffmanni,Atlantogenata,Xenarthra,Pilosa,Megalonychidae,TRUE,TRUE,20.9
15,Myrmecophaga tridactyla,Atlantogenata,Xenarthra,Pilosa,Myrmecophagidae,FALSE,TRUE,22.2
16,Tamandua_tetradactyla,Atlantogenata,Xenarthra,Pilosa,Myrmecophagidae,TRUE,TRUE,22.4
17,Galeopterus_variegatus,Boreoeutheria,Euarchontoglires,Dermoptera,Cynocephalidae,TRUE,TRUE,6.8
18,Lepus americanus,Boreoeutheria,Euarchontoglires,Lagomorpha,Leporidae,FALSE,TRUE,28.1
19,Oryctolagus_cuniculus,Boreoeutheria,Euarchontoglires,Lagomorpha,Leporidae,TRUE,TRUE,29.2
20,Ochotona_princeps,Boreoeutheria,Euarchontoglires,Lagomorpha,Ochotonidae,TRUE,TRUE,37.4
21,Aotus nancymaae,Boreoeutheria,Euarchontoglires,Primates,Aotidae,FALSE,TRUE,7.6
22,Alouatta palliata,Boreoeutheria,Euarchontoglires,Primates,Atelidae,FALSE,TRUE,6.9
23,Ateles geoffroyi,Boreoeutheria,Euarchontoglires,Primates,Atelidae,FALSE,TRUE,6.5
24,Callithrix jacchus,Boreoeutheria,Euarchontoglires,Primates,Cebidae,FALSE,TRUE,7.6
25,Cebus albifrons,Boreoeutheria,Euarchontoglires,Primates,Cebidae,FALSE,TRUE,9.4
26,Cebus_capucinus,Boreoeutheria,Euarchontoglires,Primates,Cebidae,TRUE,TRUE,7.6
27,Saguinus imperator,Boreoeutheria,Euarchontoglires,Primates,Cebidae,FALSE,TRUE,7.8
28,Saimiri boliviensis,Boreoeutheria,Euarchontoglires,Primates,Cebidae,FALSE,TRUE,9.9
29,Cercocebus atys,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.3
30,Cercopithecus neglectus,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,FALSE,
31,Chlorocebus sabaeus,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.2
32,Colobus_angolensis,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,TRUE,TRUE,4.9
33,Erythrocebus patas,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.7
34,Macaca fascicularis,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.0
35,Macaca mulatta,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.1
36,Macaca nemestrina,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.0
37,Mandrillus leucophaeus,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,4.1
38,Nasalis larvatus,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.3
39,Papio_anubis,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,TRUE,TRUE,3.2
40,Piliocolobus tephrosceles,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,4.0
41,Pygathrix nemaeus,Boreoeutheria,Euarchontoglires,Primates,Cercopithecidae,FALSE,TRUE,3.2
